block,cond_file,ready_msg,fdbk_msg,pair,allowed,correct,state,position,num_reminder,lett_reminder,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial_key_resp.keys,trial_key_resp.corr,trial_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",2G,fj,j,TopLeft,"[-0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,0,0,0,j,1,9.777650800000629,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",5I,fj,f,TopRight,"[0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,1,1,1,f,1,1.9974025999999867,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",2K,fj,j,TopLeft,"[-0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,2,2,2,j,1,1.5239570000003368,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",7A,fj,f,TopRight,"[0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,3,3,3,f,1,1.182224999999562,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",1E,fj,f,TopLeft,"[-0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,4,4,4,f,1,1.0677623000001404,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",6R,fj,j,TopRight,"[0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,5,5,5,j,1,0.8991213999997854,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",9I,fj,f,TopLeft,"[-0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,6,6,6,f,1,0.8800825000007535,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",6M,fj,j,TopRight,"[0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,7,7,7,j,1,0.8507343999999648,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",1R,fj,f,TopLeft,"[-0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,8,8,8,f,1,0.8073426999999356,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",2R,fj,j,TopRight,"[0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,9,9,9,j,1,0.8127146999995603,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",9E,fj,f,TopLeft,"[-0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,10,10,10,f,1,0.8384449000004679,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
1,NLT_Block_1.xlsx,"Respond by pressing:
        F if the number is odd
        J if the number is even

Remember...
        Odd numbers are 1, 3, 5, 7, and 9
        Even numbers are 2, 4, 6, and 8","Good work! 

In this second block, number-letter pairs will only appear on the bottom half of the screen. 

Decide if the letter is a consonant or a vowel. ",7K,fj,f,TopRight,"[0.3, 0.25]",F = Odd        J = Even, ,0,0,0,0,0,11,11,11,f,1,0.7691430999993827,1,001,2019_Nov_07_0950,Number_Letter_Task,3.1.5,60.0080170710004,
