block,pair,allowed,correct,state,position,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,NL_Pair.started,NL_Pair.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.131351686999551,None,space,1.073969509001472,8.131351686999551,None,,,,,,,,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,2G,"'f', 'j'",j,TopLeft,"[-0.3, 0.3]",0,0,0,0,,,,,,,9.297683001001133,None,f,0,2.4916205320041627,9.297683001001133,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,5I,"'f', 'j'",f,TopRight,"[0.3, 0.3]",0,1,1,1,,,,,,,11.856913372001145,None,j,0,1.5882815910008503,11.856913372001145,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,2K,"'f', 'j'",j,TopLeft,"[-0.3, 0.3]",0,2,2,2,,,,,,,13.51091127700056,None,f,0,0.3652567149983952,13.51091127700056,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,7A,"'f', 'j'",f,TopRight,"[0.3, 0.3]",0,3,3,3,,,,,,,13.943356942996616,None,j,0,0.2708273689931957,13.943356942996616,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,1E,"'f', 'j'",f,TopLeft,"[-0.3, 0.3]",0,4,4,4,,,,,,,14.276008501998149,None,f,1,0.28910052799619734,14.276008501998149,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,6R,"'f', 'j'",j,TopRight,"[0.3, 0.3]",0,5,5,5,,,,,,,14.625388829997974,None,j,1,0.16175130099873058,14.625388829997974,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,9I,"'f', 'j'",f,TopLeft,"[-0.3, 0.3]",0,6,6,6,,,,,,,14.842924227996264,None,f,1,0.1642346160078887,14.842924227996264,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,6M,"'f', 'j'",j,TopRight,"[0.3, 0.3]",0,7,7,7,,,,,,,15.075774480006658,None,j,1,0.06340532799367793,15.075774480006658,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
1,1R,"'f', 'j'",f,TopLeft,"[-0.3, 0.3]",0,8,8,8,,,,,,,15.190369211006328,None,f,1,0.13471299600496422,15.190369211006328,None,,,,,,,1,001,2019_Aug_27_1008,Number_Letter_Task,3.1.5,59.80632535210631,
